time,open,high,low,close,contract
2026-06-01T08:45:00+08:00,22150.00,22160.56,22140.00,22150.64,TXF202606
2026-06-01T09:00:00+08:00,22150.64,22154.74,22140.36,22147.73,TXF202606
2026-06-01T09:15:00+08:00,22147.73,22159.02,22137.48,22147.70,TXF202606
2026-06-01T09:30:00+08:00,22147.70,22162.23,22137.74,22153.20,TXF202606
2026-06-01T09:45:00+08:00,22153.20,22161.16,22147.69,22153.15,TXF202606
2026-06-01T10:00:00+08:00,22153.15,22168.95,22141.78,22164.42,TXF202606
2026-06-01T10:15:00+08:00,22164.42,22174.74,22157.39,22164.56,TXF202606
2026-06-01T10:30:00+08:00,22164.56,22181.21,22160.39,22169.63,TXF202606
2026-06-01T10:45:00+08:00,22169.63,22182.26,22161.05,22170.02,TXF202606
2026-06-01T11:00:00+08:00,22170.02,22183.69,22157.50,22170.81,TXF202606
2026-06-01T11:15:00+08:00,22170.81,22179.52,22165.59,22171.71,TXF202606
2026-06-01T11:30:00+08:00,22171.71,22184.72,22166.24,22175.12,TXF202606
2026-06-01T11:45:00+08:00,22175.12,22188.00,22169.58,22183.53,TXF202606
2026-06-01T12:00:00+08:00,22183.53,22200.79,22175.77,22193.19,TXF202606
2026-06-01T12:15:00+08:00,22193.19,22207.62,22185.73,22199.33,TXF202606
2026-06-01T12:30:00+08:00,22199.33,22209.87,22184.45,22197.16,TXF202606
2026-06-01T12:45:00+08:00,22197.16,22217.84,22189.95,22207.87,TXF202606
2026-06-01T13:00:00+08:00,22207.87,22219.92,22197.80,22209.71,TXF202606
2026-06-01T13:15:00+08:00,22209.71,22215.83,22200.61,22207.88,TXF202606
2026-06-01T13:30:00+08:00,22207.88,22222.79,22199.38,22211.50,TXF202606
2026-06-01T13:45:00+08:00,22211.50,22222.90,22200.46,22208.33,TXF202606
2026-06-01T14:00:00+08:00,22208.33,22218.07,22200.48,22212.07,TXF202606
2026-06-01T14:15:00+08:00,22212.07,22225.00,22207.15,22214.05,TXF202606
2026-06-01T14:30:00+08:00,22214.05,22223.99,22203.79,22218.38,TXF202606
2026-06-01T14:45:00+08:00,22218.38,22224.87,22208.49,22215.59,TXF202606
2026-06-01T15:00:00+08:00,22215.59,22225.67,22207.46,22221.20,TXF202606
2026-06-01T15:15:00+08:00,22221.20,22227.74,22212.44,22220.73,TXF202606
2026-06-01T15:30:00+08:00,22220.73,22238.88,22208.12,22230.55,TXF202606
2026-06-01T15:45:00+08:00,22230.55,22242.87,22221.69,22228.97,TXF202606
2026-06-01T16:00:00+08:00,22228.97,22239.71,22215.01,22227.22,TXF202606
2026-06-01T16:15:00+08:00,22227.22,22233.63,22211.36,22222.29,TXF202606
2026-06-01T16:30:00+08:00,22222.29,22228.47,22217.24,22221.32,TXF202606
2026-06-01T16:45:00+08:00,22221.32,22230.89,22202.41,22215.27,TXF202606
2026-06-01T17:00:00+08:00,22215.27,22230.24,22211.05,22221.71,TXF202606
2026-06-01T17:15:00+08:00,22221.71,22232.80,22206.23,22217.72,TXF202606
2026-06-01T17:30:00+08:00,22217.72,22223.78,22208.46,22217.20,TXF202606
2026-06-01T17:45:00+08:00,22217.20,22226.85,22207.14,22213.50,TXF202606
2026-06-01T18:00:00+08:00,22213.50,22227.59,22208.04,22215.54,TXF202606
2026-06-01T18:15:00+08:00,22215.54,22227.40,22201.21,22207.72,TXF202606
2026-06-01T18:30:00+08:00,22207.72,22217.12,22197.45,22208.49,TXF202606
2026-06-01T18:45:00+08:00,22208.49,22214.41,22199.00,22205.57,TXF202606
2026-06-01T19:00:00+08:00,22205.57,22215.72,22185.96,22196.20,TXF202606
2026-06-01T19:15:00+08:00,22196.20,22208.18,22177.40,22185.18,TXF202606
2026-06-01T19:30:00+08:00,22185.18,22193.10,22163.13,22175.95,TXF202606
2026-06-01T19:45:00+08:00,22175.95,22185.57,22159.33,22171.61,TXF202606
2026-06-01T20:00:00+08:00,22171.61,22184.34,22163.86,22173.50,TXF202606
2026-06-01T20:15:00+08:00,22173.50,22185.61,22159.76,22170.86,TXF202606
2026-06-01T20:30:00+08:00,22170.86,22177.99,22161.58,22168.89,TXF202606
2026-06-01T20:45:00+08:00,22168.89,22178.99,22164.74,22169.92,TXF202606
2026-06-01T21:00:00+08:00,22169.92,22183.53,22158.74,22171.40,TXF202606
2026-06-01T21:15:00+08:00,22171.40,22188.45,22162.58,22176.26,TXF202606
2026-06-01T21:30:00+08:00,22176.26,22187.71,22171.37,22180.29,TXF202606
2026-06-01T21:45:00+08:00,22180.29,22187.10,22166.40,22178.81,TXF202606
2026-06-01T22:00:00+08:00,22178.81,22191.37,22169.21,22182.50,TXF202606
2026-06-01T22:15:00+08:00,22182.50,22191.31,22168.34,22178.64,TXF202606
2026-06-01T22:30:00+08:00,22178.64,22185.01,22170.98,22178.80,TXF202606
2026-06-01T22:45:00+08:00,22178.80,22188.97,22172.83,22178.11,TXF202606
2026-06-01T23:00:00+08:00,22178.11,22184.92,22163.96,22174.22,TXF202606
2026-06-01T23:15:00+08:00,22174.22,22189.66,22161.81,22179.72,TXF202606
2026-06-01T23:30:00+08:00,22179.72,22183.99,22171.33,22179.72,TXF202606
2026-06-01T23:45:00+08:00,22179.72,22186.44,22169.71,22180.83,TXF202606
2026-06-02T00:00:00+08:00,22180.83,22186.97,22173.63,22180.57,TXF202606
2026-06-02T00:15:00+08:00,22180.57,22192.97,22173.33,22188.90,TXF202606
2026-06-02T00:30:00+08:00,22188.90,22194.71,22180.27,22188.16,TXF202606
2026-06-02T00:45:00+08:00,22188.16,22200.43,22178.42,22186.93,TXF202606
2026-06-02T01:00:00+08:00,22186.93,22198.28,22178.75,22192.82,TXF202606
2026-06-02T01:15:00+08:00,22192.82,22209.54,22186.57,22197.95,TXF202606
2026-06-02T01:30:00+08:00,22197.95,22213.32,22186.47,22201.63,TXF202606
2026-06-02T01:45:00+08:00,22201.63,22211.52,22190.77,22202.68,TXF202606
2026-06-02T02:00:00+08:00,22202.68,22216.79,22192.71,22206.73,TXF202606
2026-06-02T02:15:00+08:00,22206.73,22228.45,22196.60,22219.47,TXF202606
2026-06-02T02:30:00+08:00,22219.47,22234.62,22212.57,22224.03,TXF202606
2026-06-02T02:45:00+08:00,22224.03,22238.37,22217.27,22231.12,TXF202606
2026-06-02T03:00:00+08:00,22231.12,22239.44,22222.23,22233.40,TXF202606
2026-06-02T03:15:00+08:00,22233.40,22241.83,22222.17,22237.42,TXF202606
2026-06-02T03:30:00+08:00,22237.42,22254.26,22228.03,22241.83,TXF202606
2026-06-02T03:45:00+08:00,22241.83,22259.28,22229.76,22247.42,TXF202606
2026-06-02T04:00:00+08:00,22247.42,22256.72,22237.65,22251.58,TXF202606
2026-06-02T04:15:00+08:00,22251.58,22271.87,22240.52,22262.40,TXF202606
2026-06-02T04:30:00+08:00,22262.40,22275.94,22256.03,22266.38,TXF202606
